VERB_LÄHTEÄ	1	hteä stem, hteä : hde : ks variations
VERB_LÄMMETÄ	6	metä stem, mmetä : mpeä variations
VERB_LÄMMITÄ	5	mitä stem, mmitä : mpiä variations
VERB_LÄNTÄTÄ	4	tätä stem, tätä : ttä variatoins
VERB_MARISTA	3	sta stem, sta : se variations
VERB_MAUKUA	1	ukua stem, ukua : u’u variations
VERB_MELLAKOIDA	2	oida stem, oida : oi : oitse variatoins
VERB_MENNÄ	3	nnä stem, nnä : ne variations 
VERB_MERKITÄ	5	tä stem, tä : tse variations
VERB_MIELTYÄ	1	ltyä stem, ltyä : lly variations
VERB_MIETTIÄ	1	ttiä stem, ttiä : ti variations
VERB_MOITTIA	1	ttia stem, ttia : ti variations
VERB_MOJAHTAA	1	taa stem, taa : di variations
VERB_MORKATA	4	kata stem, kata : kkaa variations
VERB_MULLATA	4	lata stem, llata : lta variations
VERB_MUODOTA	4	dota stem, dota : toa variations
VERB_MUTRISTAA	1	taa stem, taa : ti variations
VERB_MYYDÄ	2	ydä stem, ydä : 0 variations 
VERB_MÄDÄTÄ	4	dätä stem, dätä : täne variations
VERB_MÄIKYÄ	1	kyä stem, kyä : y variations
VERB_MÖNKIÄ	1	nkiä stem, nkiä : ngi variations
VERB_NAKELLA	3	kella stem, kella : kkele variations
VERB_NAKERRELLA	3	rrella stem, rrella : rtele variations
VERB_NIUKETA	6	keta stem, keta : kkene variations
VERB_NUOKKUA	1	kkua stem, kkua : ku variations
VERB_NÄHDÄ	2	hdä stem, hdä : e variations
VERB_NÄPERTÄÄ	1	rtää stems, rtää : rrä variations
VERB_OLLA	0	‘olla’ has heteroclitic inflection, lot of common short forms in standard spoken Finnish
VERB_OMMELLA	3	mmella stem, mmella : mpele variations
VERB_ONKIA	1	nkia stem, nkia : ngi variations
VERB_PALKITA	1	ta stem, ta : tse variation
VERB_PANNA	2	nna stem, nna : ne variations
VERB_PEITOTA	4	tota stem, tota : ttoa variations
VERB_PENKOA	1	nkoa stem, nkoa : ngo variations
VERB_PIDETÄ	6	detä stem, detä : tene variations
VERB_PIERRÄ	3	rrä stem, rrä : re variations
VERB_PIESTÄ	3	stä stem, stä : kse variations
VERB_PINGOTA	4	ngota stem, ngota : nkoa variations
VERB_POIKETA	6	keta stem, keta : kkea variations
VERB_POLKEA	1	kea stem, kea : je variations
VERB_PUKEA	1	kea stem, kea : e variations
VERB_PULPUTA	4	puta stem, puta : ppua variations
VERB_PUNOA	1	oa stem, oa : o variations
VERB_PURKAA	1	kaa stem, kaa : a variations
VERB_PUSERTUA	1	rtua stem, rtua : rru variations
VERB_PYYTÄÄ	1	tää stem, tää : si variations
VERB_PÄTEÄ	1	teä stem, teä : di variations
VERB_RAAPIA	1	pia stem, pia : vi variations
VERB_RAIKAA	1	kaa stem, defective inflection
VERB_RANGAISTA	3	gaista stem, gaista : kaise variations
VERB_RENNOTA	4	nnota stem, nnota : ntoa variations
VERB_REVETÄ	6	vetä stem, vetä : peä variations
VERB_RIIPIÄ	1	piä stem, piä : vi variations
VERB_ROHJETA	6	jeta stem, jeta : ke variations
VERB_ROHTUA	1	tua stem, tua : du variations
VERB_RYNNÄTÄ	4	nnätä stem, nnätä variations
VERB_RYPEÄ	1	peä stem, peä : ve variations
VERB_RYSKIÄ	1	kiä stem, no variatiosn
VERB_RYÖPYTÄ	4	pytä stem, pytä : ppyä variations
VERB_RÄPSYTTÄÄ	1	ttää stem, ttää : ti variations
VERB_SAADA	2	ada stems, ada : 0 variations
VERB_SAARTAA	1	rtaa stems, rtaa : rra variations
VERB_SAMMOTA	4	mmota stems, mmota : mpoa variations
VERB_SATAA	1	taa stem defective inflection
VERB_SELVITÄ	5	vitä stem, vitä : piä variations
VERB_SIEPATA	4	pata stem, pata : ppaa variations
VERB_SI’ITÄ	5	’itä stem, ’itä : kiä variations
VERB_SILIYTYÄ	1	ytyä stem, ytyä : ydy variations
VERB_SILPOA	1	poa stem, poa : vo variations
VERB_SIVALTAA	1	ltaa stem, ltaa : lla variations
VERB_SORTAA	1	rtaa stem, rtaa : rra variations
VERB_SOTKEA	1	ea stem, ea : i variations
VERB_SULATELLA	3	tella stem, tella : ttele variations
VERB_SUPETA	6	peta stem, peta : ppene variations
VERB_SURRA	3	rra stem, rra : re variations
VERB_SUUNNATA	4	nnata stem, nnata : ntaa variations
VERB_SYÖDÄ	2	yödä stem, yödä : öi variations
VERB_SYÖPYÄ	1	pyä stem, pyä : vy variations
VERB_SÄILÖÄ	1	öä stem, no variations
VERB_SÄPSÄHDELLÄ	3	dellä stem, dellä : tele variations
VERB_SÄRKEÄ	1	keä stem, keä : je variations
VERB_SÖRKKIÄ	1	kkiä stem, kkiä : ki variations
VERB_TAITAA	1	taa stem, taa : da : si variations
VERB_TAKOA	1	koa stem, koa : o variations
VERB_TAPELLA	3	pella stem, pella : ppele variations
VERB_TAPPAA	1	ppaa stem, ppaa : po variations
VERB_TEMMATA	4	mmata stem, : mmata : mpaa variations
VERB_TEMPOA	1	mpoa stem, mpoa : mmo variations
VERB_TIETÄÄ	1	tää stem, tää : si variations
VERB_TIPAHDELLA	3	della stem, della : tele variations
